templateKey,normalizedTemplate,bglCategory,bglComponent,bglSeverity,totalRecords,normalTruthCount,anomalyTruthCount,TP,TN,FP,FN,errorCount,errorRate,correctCount,accuracy,directLlmCount,directGuardCount,cacheHitCount,cacheFromLlmCount,cacheFromGuardCount,cacheableCount,nonCacheableCount,validOutputCount,invalidOutputCount,labelConflict
bgl|category=ras|component=kernel|severity=fatal|message=external input interrupt enable...<num>,external input interrupt enable...<NUM>,RAS,KERNEL,FATAL,6553,6553,0,0,0,6553,0,6553,1.0,0,0.0,1,0,6552,6552,0,6553,0,6553,0,false
bgl|category=ras|component=kernel|severity=fatal|message=floating point instr. enabled.....<num>,floating point instr. enabled.....<NUM>,RAS,KERNEL,FATAL,6538,6538,0,0,0,6538,0,6538,1.0,0,0.0,1,0,6537,6537,0,6538,0,6538,0,false
bgl|category=ras|component=kernel|severity=fatal|message=machine check enable..............<num>,machine check enable..............<NUM>,RAS,KERNEL,FATAL,6535,6535,0,0,0,6535,0,6535,1.0,0,0.0,1,0,6534,6534,0,6535,0,6535,0,false
bgl|category=ras|component=kernel|severity=fatal|message=debug wait enable.................<num>,debug wait enable.................<NUM>,RAS,KERNEL,FATAL,6521,6521,0,0,0,6521,0,6521,1.0,0,0.0,1,0,6520,6520,0,6521,0,6521,0,false
bgl|category=ras|component=kernel|severity=fatal|message=debug interrupt enable............<num>,debug interrupt enable............<NUM>,RAS,KERNEL,FATAL,6518,6518,0,0,0,6518,0,6518,1.0,0,0.0,1,0,6517,6517,0,6518,0,6518,0,false
bgl|category=ras|component=kernel|severity=fatal|message=instruction address space.........<zero>,instruction address space.........<ZERO>,RAS,KERNEL,FATAL,6503,6503,0,0,0,6503,0,6503,1.0,0,0.0,1,0,6502,6502,0,6503,0,6503,0,false
bgl|category=ras|component=kernel|severity=fatal|message=data address space................<num>,data address space................<NUM>,RAS,KERNEL,FATAL,6500,6500,0,0,0,6500,0,6500,1.0,0,0.0,1,0,6499,6499,0,6500,0,6500,0,false
bgl|category=ras|component=kernel|severity=fatal|message=disable store gathering..................<num>,disable store gathering..................<NUM>,RAS,KERNEL,FATAL,6492,6492,0,0,0,6492,0,6492,1.0,0,0.0,1,0,6491,6491,0,6492,0,6492,0,false
bgl|category=ras|component=kernel|severity=fatal|message=core configuration register: <hex>,core configuration register: <HEX>,RAS,KERNEL,FATAL,6428,6428,0,0,0,6428,0,6428,1.0,0,0.0,1,0,6427,6427,0,6428,0,6428,0,false
bgl|category=ras|component=kernel|severity=fatal|message=critical input interrupt enable...<zero>,critical input interrupt enable...<ZERO>,RAS,KERNEL,FATAL,6403,6403,0,0,0,6403,0,6403,1.0,0,0.0,1,0,6402,6402,0,6403,0,6403,0,false
"bgl|category=ras|component=kernel|severity=fatal|message=problem state (<num>=sup,<num>=usr).......<zero>","problem state (<NUM>=sup,<NUM>=usr).......<ZERO>",RAS,KERNEL,FATAL,6382,6382,0,0,0,6382,0,6382,1.0,0,0.0,1,0,6381,6381,0,6382,0,6382,0,false
bgl|category=ras|component=kernel|severity=fatal|message=floating point operation....................<num>,floating point operation....................<NUM>,RAS,KERNEL,FATAL,6162,6162,0,0,0,6162,0,6162,1.0,0,0.0,1,0,6161,6161,0,6162,0,6162,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: privileged instruction...<zero>,program interrupt: privileged instruction...<ZERO>,RAS,KERNEL,FATAL,6162,6162,0,0,0,6162,0,6162,1.0,0,0.0,1,0,6161,6161,0,6162,0,6162,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: fp compare...............<num>,program interrupt: fp compare...............<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: fp cr update.............<num>,program interrupt: fp cr update.............<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: fp cr field .............<num>,program interrupt: fp cr field .............<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=data store interrupt caused by dcbf.........<zero>,data store interrupt caused by dcbf.........<ZERO>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: imprecise exception......<num>,program interrupt: imprecise exception......<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: unimplemented operation..<num>,program interrupt: unimplemented operation..<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=data store interrupt caused by icbi.........<zero>,data store interrupt caused by icbi.........<ZERO>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=byte ordering exception.....................<num>,byte ordering exception.....................<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=auxiliary processor.........................<num>,auxiliary processor.........................<NUM>,RAS,KERNEL,FATAL,6161,6161,0,0,0,6161,0,6161,1.0,0,0.0,1,0,6160,6160,0,6161,0,6161,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: trap instruction.........<zero>,program interrupt: trap instruction.........<ZERO>,RAS,KERNEL,FATAL,6160,6160,0,0,0,6160,0,6160,1.0,0,0.0,1,0,6159,6159,0,6160,0,6160,0,false
bgl|category=ras|component=kernel|severity=fatal|message=store operation.............................<non_zero>,store operation.............................<NON_ZERO>,RAS,KERNEL,FATAL,6152,6152,0,0,0,6152,0,6152,1.0,0,0.0,1,0,6151,6151,0,6152,0,6152,0,false
bgl|category=ras|component=mmcs|severity=error|message=ido packet timeout,Ido packet timeout,RAS,MMCS,ERROR,4276,4276,0,0,0,4276,0,4276,1.0,0,0.0,1,0,4275,4275,0,4276,0,4276,0,false
bgl|category=ras|component=kernel|severity=info|message=program interrupt: illegal instruction......<non_zero>,program interrupt: illegal instruction......<NON_ZERO>,RAS,KERNEL,INFO,3662,3662,0,0,0,3662,0,3662,1.0,0,0.0,1,0,3661,3661,0,3662,0,3662,0,false
bgl|category=ras|component=kernel|severity=fatal|message=disable apu instruction broadcast........<num>,disable apu instruction broadcast........<NUM>,RAS,KERNEL,FATAL,2393,2393,0,0,0,2393,0,2393,1.0,0,0.0,1,0,2392,2392,0,2393,0,2393,0,false
bgl|category=ras|component=kernel|severity=fatal|message=disable trace broadcast..................<num>,disable trace broadcast..................<NUM>,RAS,KERNEL,FATAL,2390,2390,0,0,0,2390,0,2390,1.0,0,0.0,1,0,2389,2389,0,2390,0,2390,0,false
bgl|category=ras|component=kernel|severity=fatal|message=guaranteed instruction cache block touch.<num>,guaranteed instruction cache block touch.<NUM>,RAS,KERNEL,FATAL,2387,2387,0,0,0,2387,0,2387,1.0,0,0.0,1,0,2386,2386,0,2387,0,2387,0,false
bgl|category=ras|component=kernel|severity=fatal|message=icache prefetch depth....................<num>,icache prefetch depth....................<NUM>,RAS,KERNEL,FATAL,2386,2386,0,0,0,2386,0,2386,1.0,0,0.0,1,0,2385,2385,0,2386,0,2386,0,false
bgl|category=ras|component=kernel|severity=fatal|message=force load/store alignment...............<num>,force load/store alignment...............<NUM>,RAS,KERNEL,FATAL,2386,2386,0,0,0,2386,0,2386,1.0,0,0.0,1,0,2385,2385,0,2386,0,2386,0,false
bgl|category=ras|component=kernel|severity=fatal|message=guaranteed data cache block touch........<num>,guaranteed data cache block touch........<NUM>,RAS,KERNEL,FATAL,2386,2386,0,0,0,2386,0,2386,1.0,0,0.0,1,0,2385,2385,0,2386,0,2386,0,false
bgl|category=ras|component=kernel|severity=fatal|message=icache prefetch threshold................<num>,icache prefetch threshold................<NUM>,RAS,KERNEL,FATAL,2385,2385,0,0,0,2385,0,2385,1.0,0,0.0,1,0,2384,2384,0,2385,0,2385,0,false
bgl|category=ras|component=kernel|severity=fatal|message=general purpose registers:,general purpose registers:,RAS,KERNEL,FATAL,2384,2384,0,0,0,2384,0,2384,1.0,0,0.0,1,0,2383,2383,0,2384,0,2384,0,false
bgl|category=ras|component=kernel|severity=fatal|message=special purpose registers:,special purpose registers:,RAS,KERNEL,FATAL,2381,2381,0,0,0,2381,0,2381,1.0,0,0.0,1,0,2380,2380,0,2381,0,2381,0,false
bgl|category=ras|component=kernel|severity=fatal|message=rts internal error,rts internal error,RAS,KERNEL,FATAL,2187,2187,0,0,0,2187,0,2187,1.0,0,0.0,1,0,2186,2186,0,2187,0,2187,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: login chdir(pwd) failed: no such file or directory,ciod: LOGIN chdir(pwd) failed: No such file or directory,RAS,APP,FATAL,2056,2056,0,0,0,2056,0,2056,1.0,0,0.0,1,0,2055,2055,0,2056,0,2056,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:<num> <num>:1feaa7b0 <num>:<num> <num>:<num>,<NUM>:<NUM> <NUM>:1feaa7b0 <NUM>:<NUM> <NUM>:<NUM>,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=lr:00004ed0 cr:<num> xer:<num> ctr:<num>,lr:00004ed0 cr:<NUM> xer:<NUM> ctr:<NUM>,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:000008ce <num>:ffffffff <num>:<num> <num>:<num>,<NUM>:000008ce <NUM>:ffffffff <NUM>:<NUM> <NUM>:<NUM>,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:1feaa7a0 <num>:<num> <num>:<num> <num>:<num>,<NUM>:1feaa7a0 <NUM>:<NUM> <NUM>:<NUM> <NUM>:<NUM>,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:000008ce <num>:<num> <num>:1eeeeeee <num>:1feaa770,<NUM>:000008ce <NUM>:<NUM> <NUM>:1eeeeeee <NUM>:1feaa770,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:1feaa7b0 <num>:<num> <num>:000008ce <num>:1feaa790,<NUM>:1feaa7b0 <NUM>:<NUM> <NUM>:000008ce <NUM>:1feaa790,RAS,KERNEL,FATAL,2048,2048,0,0,0,2048,0,2048,1.0,0,0.0,1,0,2047,2047,0,2048,0,2048,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:<num> <num>:4e800020 <num>:3ed4bd98 <num>:6b26bf88,<NUM>:<NUM> <NUM>:4e800020 <NUM>:3ed4bd98 <NUM>:6b26bf88,RAS,KERNEL,FATAL,2047,2047,0,0,0,2047,0,2047,1.0,0,0.0,1,0,2046,2046,0,2047,0,2047,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: login chdir(runs/3bvn_fmm/rs0000) failed: no such file or directory,ciod: LOGIN chdir(RUNS/3Bvn_fmm/rs0000) failed: No such file or directory,RAS,APP,FATAL,1920,1920,0,0,0,1920,0,1920,1.0,0,0.0,1,0,1919,1919,0,1920,0,1920,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:<num> <num>:<num> <num>:<num> <num>:<num>,<NUM>:<NUM> <NUM>:<NUM> <NUM>:<NUM> <NUM>:<NUM>,RAS,KERNEL,FATAL,1646,1646,0,0,0,1646,0,1646,1.0,0,0.0,1,0,1645,1645,0,1646,0,1646,0,false
bgl|category=ras|component=kernel|severity=info|message=ciod: error opening node map file <path> no such file or directory,ciod: Error opening node map file <PATH> No such file or directory,RAS,KERNEL,INFO,1544,1544,0,0,0,1544,0,1544,1.0,0,0.0,1,0,1543,1543,0,1544,0,1544,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: error creating node map from file <path>: bad file descriptor,ciod: Error creating node map from file <PATH>: Bad file descriptor,RAS,APP,FATAL,1544,1544,0,0,0,1544,0,1544,1.0,0,0.0,1,0,1543,1543,0,1544,0,1544,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading <path>: program image too big, <num> > <num>","ciod: Error loading <PATH>: program image too big, <NUM> > <NUM>",RAS,APP,FATAL,1416,1416,0,0,0,1416,0,1416,1.0,0,0.0,1,0,1415,1415,0,1416,0,1416,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: error creating node map from file <path>: permission denied,ciod: Error creating node map from file <PATH>: Permission denied,RAS,APP,FATAL,1272,1272,0,0,0,1272,0,1272,1.0,0,0.0,1,0,1271,1271,0,1272,0,1272,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading allreduce_int_v1r1.rts: invalid or missing program image, no such file or directory","ciod: Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory",RAS,APP,FATAL,1024,1024,0,0,0,1024,0,1024,1.0,0,0.0,1,0,1023,1023,0,1024,0,1024,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading allreduce_double_v1r1.rts: invalid or missing program image, no such file or directory","ciod: Error loading allreduce_double_V1R1.rts: invalid or missing program image, No such file or directory",RAS,APP,FATAL,1024,1024,0,0,0,1024,0,1024,1.0,0,0.0,1,0,1023,1023,0,1024,0,1024,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: error loading <path>: not a cnk program image,ciod: Error loading <PATH>: not a CNK program image,RAS,APP,FATAL,1024,1024,0,0,0,1024,0,1024,1.0,0,0.0,1,0,1023,1023,0,1024,0,1024,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: error creating node map from file <path>: bad address,ciod: Error creating node map from file <PATH>: Bad address,RAS,APP,FATAL,1024,1024,0,0,0,1024,0,1024,1.0,0,0.0,1,0,1023,1023,0,1024,0,1024,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading -mode vn: invalid or missing program image, no such file or directory","ciod: Error loading -mode VN: invalid or missing program image, No such file or directory",RAS,APP,FATAL,1024,1024,0,0,0,1024,0,1024,1.0,0,0.0,1,0,1023,1023,0,1024,0,1024,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: error creating node map from file <path>: block device required,ciod: Error creating node map from file <PATH>: Block device required,RAS,APP,FATAL,1016,1016,0,0,0,1016,0,1016,1.0,0,0.0,1,0,1015,1015,0,1016,0,1016,0,false
bgl|category=null|component=monitor|severity=failure|message=temperature over limit on link card,Temperature Over Limit on link card,NULL,MONITOR,FAILURE,972,972,0,0,0,972,0,972,1.0,0,0.0,1,0,971,971,0,972,0,972,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>,<NUM>,RAS,KERNEL,FATAL,856,856,0,0,0,856,0,856,1.0,0,0.0,1,0,855,855,0,856,0,856,0,false
bgl|category=ras|component=kernel|severity=fatal|message=check_initial_global_interrupt_values,CHECK_INITIAL_GLOBAL_INTERRUPT_VALUES,RAS,KERNEL,FATAL,544,544,0,0,0,544,0,544,1.0,0,0.0,1,0,543,543,0,544,0,544,0,false
bgl|category=ras|component=kernel|severity=fatal|message=,,RAS,KERNEL,FATAL,537,537,0,0,0,537,0,537,1.0,0,0.0,537,0,0,0,0,0,537,537,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading .<path>: invalid or missing program image, permission denied","ciod: Error loading .<PATH>: invalid or missing program image, Permission denied",RAS,APP,FATAL,512,512,0,0,0,512,0,512,1.0,0,0.0,1,0,511,511,0,512,0,512,0,false
bgl|category=ras|component=kernel|severity=fatal|message=<num>:00000c00 <num>:<num> <num>:<num> <num>:<num>,<NUM>:00000c00 <NUM>:<NUM> <NUM>:<NUM> <NUM>:<NUM>,RAS,KERNEL,FATAL,512,512,0,0,0,512,0,512,1.0,0,0.0,1,0,511,511,0,512,0,512,0,false
bgl|category=ras|component=kernel|severity=fatal|message=rts: bad message header: expecting type <num> instead of type <num> (softheader=00a8ed88 <num> <num> <num>) psr0=00001f01 psr1=<num> prxf=<num> pixf=<num>,rts: bad message header: expecting type <NUM> instead of type <NUM> (softheader=00a8ed88 <NUM> <NUM> <NUM>) PSR0=00001f01 PSR1=<NUM> PRXF=<NUM> PIXF=<NUM>,RAS,KERNEL,FATAL,470,470,0,0,0,470,0,470,1.0,0,0.0,1,0,469,469,0,470,0,470,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading .<path>: invalid or missing program image, no such file or directory","ciod: Error loading .<PATH>: invalid or missing program image, No such file or directory",RAS,APP,FATAL,464,464,0,0,0,464,0,464,1.0,0,0.0,1,0,463,463,0,464,0,464,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: login chdir(<path>) failed: permission denied,ciod: LOGIN chdir(<PATH>) failed: Permission denied,RAS,APP,FATAL,440,440,0,0,0,440,0,440,1.0,0,0.0,1,0,439,439,0,440,0,440,0,false
bgl|category=null|component=monitor|severity=failure|message=link pgood error latched on link card,Link PGOOD error latched on link card,NULL,MONITOR,FAILURE,349,349,0,0,0,349,0,349,1.0,0,0.0,1,0,348,348,0,349,0,349,0,false
bgl|category=ras|component=kernel|severity=fatal|message=rts: bad message header: expecting type <num> instead of type <num> (softheader=00131db8 81aa0003 <num> <num>) psr0=00001f01 psr1=<num> prxf=<num> pixf=<num>,rts: bad message header: expecting type <NUM> instead of type <NUM> (softheader=00131db8 81aa0003 <NUM> <NUM>) PSR0=00001f01 PSR1=<NUM> PRXF=<NUM> PIXF=<NUM>,RAS,KERNEL,FATAL,347,347,0,0,0,347,0,347,1.0,0,0.0,1,0,346,346,0,347,0,347,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j17, ecid <num>","Found invalid node ecid in processor card slot J17, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j02, ecid <num>","Found invalid node ecid in processor card slot J02, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j03, ecid <num>","Found invalid node ecid in processor card slot J03, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j04, ecid <num>","Found invalid node ecid in processor card slot J04, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j05, ecid <num>","Found invalid node ecid in processor card slot J05, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j06, ecid <num>","Found invalid node ecid in processor card slot J06, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j07, ecid <num>","Found invalid node ecid in processor card slot J07, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j08, ecid <num>","Found invalid node ecid in processor card slot J08, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j09, ecid <num>","Found invalid node ecid in processor card slot J09, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j10, ecid <num>","Found invalid node ecid in processor card slot J10, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j11, ecid <num>","Found invalid node ecid in processor card slot J11, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j12, ecid <num>","Found invalid node ecid in processor card slot J12, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
"bgl|category=null|component=discovery|severity=error|message=found invalid node ecid in processor card slot j13, ecid <num>","Found invalid node ecid in processor card slot J13, ecid <NUM>",NULL,DISCOVERY,ERROR,342,342,0,0,0,342,0,342,1.0,0,0.0,1,0,341,341,0,342,0,342,0,false
